name,salary
"Channing Frye",5600000
"John Wall",5530080
"Amir Johnson",5500000
"Mike Miller",5400000
"Jason Richardson",5395000
"Mickael Pietrus",5300000
"Martell Webster",5256000
"Chuck Hayes",5250000
"Louis Williams",5176000
"Kyrie Irving",5144280
"Hasheem Thabeet",5127720
"Russell Westbrook",5082416
"Jamal Crawford",5000000
"Richard Hamilton",5000000
"Jarrett Jack",5000000
"Kyle Korver",5000000
"Jason Maxiell",5000000
"Luc Mbah a Moute",5000000
"Evan Turner",4947840
"Darko Milicic",4776500
"Brad Miller",4752000
"Zaza Pachulia",4750000
"Ronnie Brewer",4710000
"Kevin Love",4609701
"Linas Kleiza",4605000
"James Harden",4604760
"Derrick Williams",4602720
"Nikola Pekovic",4503600
"Jonas Jerebko",4500000
"Nate Robinson",4500000
"Derrick Favors",4443360
"Daniel Gibson",4403834
"Ronny Turiaf",4360000
"Jose Barea",4300000
"Ramon Sessions",4257973
"Brandon Bass",4250000
"Jared Dudley",4250000
"Randy Foye",4250000
"Chris Andersen",4234000
"Danilo Gallinari",4190182
"Tyreke Evans",4151640
"Enes Kanter",4133280
"Charlie Bell",4099920
"Spencer Hawes",4051024
"Wesley Johnson",4006080
"Steve Blake",4000000
"Mario Chalmers",4000000
"Jordan Farmar",4000000
"Ryan Gomes",4000000
"Anthony Morrow",4000000
"Travis Outlaw",4000000
"Hakim Warrick",4000000
"Matt Carroll",3900000
"Eric Gordon",3831184
"Dorell Wright",3823000
"Udonis Haslem",3780000
"Mike Dunleavy",3750000
"Nazr Mohammed",3750000
"Tristan Thompson",3726600
"C.J. Miles",3700000
"Nick Young",3695857
"Luke Ridnour",3680000
"Tiago Splitter",3672000
"DeMarcus Cousins",3627720
"Joel Anthony",3600000
"Shannon Brown",3500000
"Carlos Delfino",3500000
"Chris Duhon",3500000
"Shaun Livingston",3500000
"Ricky Rubio",3480120
"Jonny Flynn",3414720
"Derek Fisher",3400000
"C.J. Watson",3400000
"Marco Belinelli",3377604
"Timofey Mozgov",3343896
"Daequan Cook",3341558
"Matt Bonner",3315000
"Thabo Sefolosha",3300000
"Ekpe Udoh",3294960
"Nick Collison",3272997
"Will Bynum",3250000
"Johan Petro",3250000
"Raja Bell",3240000
"D.J. Augustin",3236470
"Tony Allen",3150000
"Stephen Curry",3117120
"Brook Lopez",3076983
"Jan Vesely",3065040
"Corey Brewer",3059000
"Jerryd Bayless",3042280
"Greg Monroe",3007920
"Jason Thompson",3001284
"Shane Battier",3000000
"Vince Carter",3000000
"Jeff Foster",3000000
"Josh McRoberts",3000000
"Travis Outlaw",3000000
"Chris Wilcox",3000000
"Shawne Williams",3000000
"Brandon Rush",2956658
"Anthony Randolph",2911231
"Robin Lopez",2862602
"Jordan Hill",2855760
"Bismack Biyombo",2798040
"Al-Farouq Aminu",2755560
"Eduardo Najera",2750000
